SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABB,TEAM_NAME,INDEX,PLAY_TYPE,POSS,FREQ,FREQ_PCTL,PPP,PPP_PCTL,GP,PTS,FGM,FGA,FG_PCT,EFG_PCT,SF_FREQ,FTA_FREQ,AND1_FREQ,TOV_FREQ
2022-23,1629626,Bol Bol,1610612753,ORL,Orlando Magic,8,Cut,42,0.066,46.6,1.64,96.1,70,69,33,40,0.825,0.825,0.071,0.071,0.048,0.024
2022-23,1629678,Admiral Schofield,1610612753,ORL,Orlando Magic,8,Cut,10,0.068,48,1.2,29.2,38,12,6,8,0.75,0.75,0,0,0,0.2
2022-23,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,8,Cut,14,0.018,7.7,1.79,98.1,60,25,9,11,0.818,0.818,0.286,0.286,0.071,0
2022-23,1630284,Kevon Harris,1610612753,ORL,Orlando Magic,8,Cut,15,0.104,63.7,1.33,56.3,34,20,7,12,0.583,0.583,0.267,0.267,0.133,0.067
2022-23,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,8,Cut,80,0.056,40.9,1.49,86.5,80,119,46,62,0.742,0.742,0.213,0.238,0.05,0.038
2022-23,1630591,Jalen Suggs,1610612753,ORL,Orlando Magic,8,Cut,21,0.036,23.1,1.1,18.2,53,23,7,14,0.5,0.5,0.238,0.286,0.048,0.095
2022-23,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,8,Cut,70,0.045,32,1.09,16.3,72,76,27,51,0.529,0.529,0.2,0.2,0.014,0.086
2022-23,203082,Terrence Ross,1610612753,ORL,Orlando Magic,9,Off Screens,46,0.134,92.4,0.89,31.7,42,41,15,43,0.349,0.442,0.065,0.065,0.043,0.043
2022-23,203914,Gary Harris,1610612753,ORL,Orlando Magic,9,Off Screens,35,0.101,84.9,1.14,79.2,48,40,14,33,0.424,0.606,0,0,0,0.057
2022-23,1629626,Bol Bol,1610612753,ORL,Orlando Magic,9,Off Screens,12,0.019,12.4,0.75,15.1,70,9,4,11,0.364,0.364,0.083,0.083,0.083,0.083
2022-23,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,9,Off Screens,16,0.021,16.9,1,60.6,60,16,6,13,0.462,0.5,0.125,0.125,0,0.063
2022-23,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,9,Off Screens,55,0.039,36.9,1.22,86.8,80,67,26,46,0.565,0.663,0.036,0.073,0.018,0.109
2022-23,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,9,Off Screens,34,0.022,18.7,0.74,13.7,72,25,10,30,0.333,0.35,0.059,0.088,0,0.029
2022-23,1631216,Caleb Houstan,1610612753,ORL,Orlando Magic,9,Off Screens,11,0.053,52.4,1.36,96.5,51,15,5,9,0.556,0.722,0.091,0.091,0,0.091
2022-23,1628365,Markelle Fultz,1610612753,ORL,Orlando Magic,10,Putbacks,31,0.035,32.4,1.26,74,60,39,18,28,0.643,0.661,0,0.03,0,0.065
2022-23,1628371,Jonathan Isaac,1610612753,ORL,Orlando Magic,10,Putbacks,14,0.23,93.8,1.14,53.9,11,16,7,12,0.583,0.583,0.143,0.14,0.071,0.071
2022-23,1628964,Mo Bamba,1610612753,ORL,Orlando Magic,10,Putbacks,32,0.125,78.7,1.03,35.4,40,33,13,26,0.5,0.5,0.156,0.19,0.031,0.031
2022-23,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,10,Putbacks,89,0.11,73.1,1.44,92,57,128,47,67,0.701,0.701,0.27,0.28,0.079,0.045
2022-23,1629021,Moritz Wagner,1610612753,ORL,Orlando Magic,10,Putbacks,38,0.07,59.6,1.11,47.6,57,42,15,28,0.536,0.536,0.211,0.21,0.053,0.105
2022-23,1629048,Goga Bitadze,1610612753,ORL,Orlando Magic,10,Putbacks,27,0.297,98.8,1.41,89,17,38,16,22,0.727,0.727,0.222,0.22,0.074,0.037
2022-23,1629626,Bol Bol,1610612753,ORL,Orlando Magic,10,Putbacks,60,0.094,68.2,1.53,96.7,70,92,44,54,0.815,0.815,0.067,0.08,0.017,0.033
2022-23,1629643,Chuma Okeke,1610612753,ORL,Orlando Magic,10,Putbacks,10,0.068,58.3,1.7,99.4,28,17,6,7,0.857,1,0.2,0.2,0,0.1
2022-23,1629678,Admiral Schofield,1610612753,ORL,Orlando Magic,10,Putbacks,13,0.088,65.7,1.15,55.4,38,15,7,13,0.538,0.577,0,0,0,0
2022-23,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,10,Putbacks,21,0.027,24.4,1.05,38.3,60,22,9,18,0.5,0.5,0.143,0.14,0.048,0.048
2022-23,1630284,Kevon Harris,1610612753,ORL,Orlando Magic,10,Putbacks,16,0.111,74.4,1.06,40.2,34,17,6,11,0.545,0.545,0.25,0.25,0.063,0.125
2022-23,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,10,Putbacks,37,0.026,22.8,0.97,28,80,36,14,31,0.452,0.468,0.108,0.14,0.027,0.054
2022-23,1630591,Jalen Suggs,1610612753,ORL,Orlando Magic,10,Putbacks,28,0.047,40.7,1.04,36.3,53,29,9,18,0.5,0.5,0.25,0.25,0.036,0.143
2022-23,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,10,Putbacks,52,0.033,29.6,1.08,43.2,72,56,21,39,0.538,0.551,0.154,0.17,0,0.077
2022-23,1631216,Caleb Houstan,1610612753,ORL,Orlando Magic,10,Putbacks,21,0.101,70.1,0.67,5.1,51,14,6,16,0.375,0.375,0.048,0.05,0,0.19
2022-23,203082,Terrence Ross,1610612753,ORL,Orlando Magic,11,Misc,13,0.038,11.1,0,0,42,0,0,5,0,0,0,0,0,0.615
2022-23,203914,Gary Harris,1610612753,ORL,Orlando Magic,11,Misc,15,0.043,24.9,0.67,74.9,48,10,2,5,0.4,0.5,0,0.2,0,0.467
2022-23,1628365,Markelle Fultz,1610612753,ORL,Orlando Magic,11,Misc,78,0.089,81.2,0.54,56.6,60,42,8,25,0.32,0.32,0.013,0.218,0,0.462
2022-23,1628964,Mo Bamba,1610612753,ORL,Orlando Magic,11,Misc,13,0.051,40.1,0.23,9.3,40,3,0,1,0,0,0,0.231,0,0.692
2022-23,1628976,Wendell Carter Jr.,1610612753,ORL,Orlando Magic,11,Misc,70,0.087,80.5,0.6,65.2,57,42,6,9,0.667,0.722,0.057,0.3,0.029,0.6
2022-23,1629021,Moritz Wagner,1610612753,ORL,Orlando Magic,11,Misc,48,0.089,81.2,0.52,51,57,25,4,5,0.8,0.8,0.063,0.208,0.021,0.708
2022-23,1629626,Bol Bol,1610612753,ORL,Orlando Magic,11,Misc,41,0.064,62,0.63,70.1,70,26,10,17,0.588,0.618,0.024,0.098,0.024,0.512
2022-23,1629678,Admiral Schofield,1610612753,ORL,Orlando Magic,11,Misc,15,0.102,88.4,0.93,95.2,38,14,2,3,0.667,0.833,0.067,0.333,0,0.467
2022-23,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,11,Misc,22,0.029,2.3,0.68,76.6,60,15,3,6,0.5,0.583,0,0.182,0,0.545
2022-23,1630284,Kevon Harris,1610612753,ORL,Orlando Magic,11,Misc,14,0.097,85.9,0.64,71.9,34,9,1,3,0.333,0.5,0,0.286,0,0.5
2022-23,1630532,Franz Wagner,1610612753,ORL,Orlando Magic,11,Misc,67,0.047,33.2,0.67,75.6,80,45,9,24,0.375,0.417,0.03,0.269,0.015,0.388
2022-23,1630591,Jalen Suggs,1610612753,ORL,Orlando Magic,11,Misc,41,0.069,67.4,0.39,29.1,53,16,2,9,0.222,0.222,0.024,0.244,0.024,0.561
2022-23,1631094,Paolo Banchero,1610612753,ORL,Orlando Magic,11,Misc,83,0.053,43.4,0.8,88.7,72,66,13,31,0.419,0.452,0.096,0.277,0.036,0.386
2022-23,1631216,Caleb Houstan,1610612753,ORL,Orlando Magic,11,Misc,17,0.082,78.1,0.53,53.3,51,9,2,9,0.222,0.278,0,0.176,0,0.294
